ONSConstID,ConstituencyName,RegionID,RegionName,CON# All categories ,CON# Not in employment,CON# In Employement ,CON# Work mainly at or from home,"CON%
Work mainly at or from home","REG% 
Work mainly at or from home","E&W% 
Work mainly at or from home","CON# Underground, metro, light rail, tram","CON% Underground, metro, light rail, tram","REG% Underground, metro, light rail, tram","E&W% Underground, metro, light rail, tram",CON# Train,CON% Train,REG% Train,E&W% Train,"CON# Bus, minibus or coach","CON% Bus, minibus or coach","REG% Bus, minibus or coach","E&W% Bus, minibus or coach",CON# Taxi,CON% Taxi,REG% Taxi,E&W% Taxi,"CON# Motorcycle, scooter or moped","CON% Motorcycle, scooter or moped","REG% Motorcycle, scooter or moped","E&W% Motorcycle, scooter or moped",CON# Driving a car or van,CON% Driving a car or van,REG% Driving a car or van,E&W% Driving a car or van,CON# Passenger in a car or van,CON% Passenger in a car or van,REG% Passenger in a car or van,E&W% Passenger in a car or van,CON# Bicycle,CON% Bicycle,REG% Bicycle,E&W% Bicycle,CON# On foot,CON% On foot,REG% On foot,E&W% On foot,CON# Other method of travel to work,CON% Other method of travel to work,REG% Other method of travel to work,E&W% Other method of travel to work
E14000875,Pendle,E12000002,North West,"64,440","25,116","39,324","1,520",4%,4%,5%,21,0%,1%,4%,298,1%,3%,5%,"2,124",5%,8%,7%,366,1%,1%,1%,195,0%,1%,1%,"25,806",66%,63%,58%,"2,930",7%,6%,5%,506,1%,2%,3%,"5,302",13%,11%,11%,256,1%,1%,1%
E14000877,Penrith and The Border,E12000002,North West,"60,270","17,905","42,365","4,902",12%,4%,5%,32,0%,1%,4%,320,1%,3%,5%,"1,024",2%,8%,7%,102,0%,1%,1%,169,0%,1%,1%,"26,560",63%,63%,58%,"2,150",5%,6%,5%,649,2%,2%,3%,"6,135",14%,11%,11%,322,1%,1%,1%
E14000885,Preston,E12000002,North West,"71,152","30,234","40,918","1,084",3%,4%,5%,27,0%,1%,4%,690,2%,3%,5%,"5,763",14%,8%,7%,315,1%,1%,1%,290,1%,1%,1%,"21,323",52%,63%,58%,"3,215",8%,6%,5%,"1,001",2%,2%,3%,"6,933",17%,11%,11%,277,1%,1%,1%
E14000894,Ribble Valley,E12000002,North West,"70,920","21,252","49,668","3,084",6%,4%,5%,38,0%,1%,4%,579,1%,3%,5%,"1,691",3%,8%,7%,112,0%,1%,1%,342,1%,1%,1%,"35,429",71%,63%,58%,"2,604",5%,6%,5%,983,2%,2%,3%,"4,556",9%,11%,11%,250,1%,1%,1%
E14000897,Rochdale,E12000002,North West,"76,751","33,513","43,238","1,513",3%,4%,5%,42,0%,1%,4%,"1,298",3%,3%,5%,"3,216",7%,8%,7%,853,2%,1%,1%,228,1%,1%,1%,"27,529",64%,63%,58%,"3,083",7%,6%,5%,434,1%,2%,3%,"4,760",11%,11%,11%,282,1%,1%,1%
E14000902,Rossendale and Darwen,E12000002,North West,"71,395","24,222","47,173","2,202",5%,4%,5%,39,0%,1%,4%,507,1%,3%,5%,"2,586",5%,8%,7%,343,1%,1%,1%,311,1%,1%,1%,"33,449",71%,63%,58%,"3,025",6%,6%,5%,373,1%,2%,3%,"4,108",9%,11%,11%,230,0%,1%,1%
E14000911,Salford and Eccles,E12000002,North West,"84,084","31,857","52,227","1,611",3%,4%,5%,"1,815",3%,1%,4%,"1,116",2%,3%,5%,"6,407",12%,8%,7%,629,1%,1%,1%,243,0%,1%,1%,"26,615",51%,63%,58%,"3,157",6%,6%,5%,"1,329",3%,2%,3%,"8,987",17%,11%,11%,318,1%,1%,1%
E14000916,Sefton Central,E12000002,North West,"61,718","22,597","39,121","1,806",5%,4%,5%,214,1%,1%,4%,"3,623",9%,3%,5%,"1,427",4%,8%,7%,304,1%,1%,1%,176,0%,1%,1%,"25,988",66%,63%,58%,"2,017",5%,6%,5%,728,2%,2%,3%,"2,565",7%,11%,11%,273,1%,1%,1%
E14000943,South Ribble,E12000002,North West,"72,167","23,472","48,695","2,495",5%,4%,5%,40,0%,1%,4%,798,2%,3%,5%,"1,908",4%,8%,7%,155,0%,1%,1%,394,1%,1%,1%,"34,992",72%,63%,58%,"2,557",5%,6%,5%,"1,283",3%,2%,3%,"3,858",8%,11%,11%,215,0%,1%,1%
E14000958,Southport,E12000002,North West,"64,283","23,732","40,551","2,171",5%,4%,5%,76,0%,1%,4%,"2,064",5%,3%,5%,"1,954",5%,8%,7%,492,1%,1%,1%,221,1%,1%,1%,"24,681",61%,63%,58%,"2,444",6%,6%,5%,"1,459",4%,2%,3%,"4,656",11%,11%,11%,333,1%,1%,1%
E14000962,St Helens North,E12000002,North West,"71,452","28,024","43,428","1,269",3%,4%,5%,16,0%,1%,4%,"1,271",3%,3%,5%,"2,648",6%,8%,7%,295,1%,1%,1%,279,1%,1%,1%,"30,623",71%,63%,58%,"2,953",7%,6%,5%,624,1%,2%,3%,"3,250",7%,11%,11%,200,0%,1%,1%
E14000963,St Helens South and Whiston,E12000002,North West,"74,086","29,407","44,679","1,212",3%,4%,5%,29,0%,1%,4%,"1,728",4%,3%,5%,"2,943",7%,8%,7%,529,1%,1%,1%,292,1%,1%,1%,"29,323",66%,63%,58%,"3,171",7%,6%,5%,597,1%,2%,3%,"4,635",10%,11%,11%,220,0%,1%,1%
E14000967,Stalybridge and Hyde,E12000002,North West,"67,523","24,479","43,044","1,669",4%,4%,5%,66,0%,1%,4%,"2,322",5%,3%,5%,"3,323",8%,8%,7%,211,0%,1%,1%,310,1%,1%,1%,"28,207",66%,63%,58%,"2,534",6%,6%,5%,496,1%,2%,3%,"3,696",9%,11%,11%,210,0%,1%,1%
E14000969,Stockport,E12000002,North West,"62,197","20,750","41,447","1,790",4%,4%,5%,68,0%,1%,4%,"2,207",5%,3%,5%,"4,572",11%,8%,7%,162,0%,1%,1%,252,1%,1%,1%,"24,761",60%,63%,58%,"1,926",5%,6%,5%,"1,072",3%,2%,3%,"4,418",11%,11%,11%,219,1%,1%,1%
E14000979,Stretford and Urmston,E12000002,North West,"71,075","24,642","46,433","1,768",4%,4%,5%,"1,129",2%,1%,4%,844,2%,3%,5%,"4,911",11%,8%,7%,385,1%,1%,1%,238,1%,1%,1%,"28,380",61%,63%,58%,"2,565",6%,6%,5%,"1,829",4%,2%,3%,"4,118",9%,11%,11%,266,1%,1%,1%
E14000987,Tatton,E12000002,North West,"60,861","19,533","41,328","4,019",10%,4%,5%,149,0%,1%,4%,"1,395",3%,3%,5%,555,1%,8%,7%,115,0%,1%,1%,190,0%,1%,1%,"28,837",70%,63%,58%,"1,637",4%,6%,5%,722,2%,2%,3%,"3,415",8%,11%,11%,294,1%,1%,1%
E14001010,Wallasey,E12000002,North West,"65,156","25,895","39,261","1,278",3%,4%,5%,356,1%,1%,4%,"2,653",7%,3%,5%,"3,208",8%,8%,7%,346,1%,1%,1%,442,1%,1%,1%,"23,483",60%,63%,58%,"2,637",7%,6%,5%,742,2%,2%,3%,"3,664",9%,11%,11%,452,1%,1%,1%
E14001017,Warrington North,E12000002,North West,"70,982","24,162","46,820","1,897",4%,4%,5%,36,0%,1%,4%,980,2%,3%,5%,"2,622",6%,8%,7%,233,0%,1%,1%,353,1%,1%,1%,"32,074",69%,63%,58%,"3,072",7%,6%,5%,"1,356",3%,2%,3%,"3,961",8%,11%,11%,236,1%,1%,1%
E14001018,Warrington South,E12000002,North West,"78,479","24,443","54,036","2,751",5%,4%,5%,112,0%,1%,4%,"1,167",2%,3%,5%,"2,417",4%,8%,7%,167,0%,1%,1%,339,1%,1%,1%,"39,143",72%,63%,58%,"2,731",5%,6%,5%,"1,262",2%,2%,3%,"3,665",7%,11%,11%,282,1%,1%,1%
E14001024,Weaver Vale,E12000002,North West,"64,713","22,466","42,247","2,288",5%,4%,5%,49,0%,1%,4%,844,2%,3%,5%,"1,566",4%,8%,7%,146,0%,1%,1%,267,1%,1%,1%,"30,417",72%,63%,58%,"2,286",5%,6%,5%,786,2%,2%,3%,"3,368",8%,11%,11%,230,1%,1%,1%
E14001033,West Lancashire,E12000002,North West,"69,801","26,150","43,651","2,174",5%,4%,5%,82,0%,1%,4%,"1,610",4%,3%,5%,"1,277",3%,8%,7%,570,1%,1%,1%,234,1%,1%,1%,"29,230",67%,63%,58%,"2,837",6%,6%,5%,718,2%,2%,3%,"4,617",11%,11%,11%,302,1%,1%,1%
E14001037,Westmorland and Lonsdale,E12000002,North West,"61,119","18,976","42,143","4,230",10%,4%,5%,31,0%,1%,4%,578,1%,3%,5%,723,2%,8%,7%,170,0%,1%,1%,208,0%,1%,1%,"24,426",58%,63%,58%,"2,054",5%,6%,5%,"1,150",3%,2%,3%,"8,204",19%,11%,11%,369,1%,1%,1%
E14001039,Wigan,E12000002,North West,"75,388","28,559","46,829","1,395",3%,4%,5%,23,0%,1%,4%,"1,263",3%,3%,5%,"2,480",5%,8%,7%,362,1%,1%,1%,282,1%,1%,1%,"30,793",66%,63%,58%,"3,432",7%,6%,5%,813,2%,2%,3%,"5,749",12%,11%,11%,237,1%,1%,1%
E14001043,Wirral South,E12000002,North West,"51,974","18,932","33,042","1,451",4%,4%,5%,307,1%,1%,4%,"2,046",6%,3%,5%,"1,491",5%,8%,7%,131,0%,1%,1%,302,1%,1%,1%,"22,570",68%,63%,58%,"1,711",5%,6%,5%,501,2%,2%,3%,"2,280",7%,11%,11%,252,1%,1%,1%
E14001044,Wirral West,E12000002,North West,"49,056","18,225","30,831","1,686",5%,4%,5%,252,1%,1%,4%,"1,533",5%,3%,5%,"1,797",6%,8%,7%,122,0%,1%,1%,256,1%,1%,1%,"20,850",68%,63%,58%,"1,504",5%,6%,5%,470,2%,2%,3%,"2,107",7%,11%,11%,254,1%,1%,1%
E14001053,Workington,E12000002,North West,"57,817","20,720","37,097","2,155",6%,4%,5%,18,0%,1%,4%,341,1%,3%,5%,"1,599",4%,8%,7%,110,0%,1%,1%,187,1%,1%,1%,"24,327",66%,63%,58%,"3,045",8%,6%,5%,435,1%,2%,3%,"4,652",13%,11%,11%,228,1%,1%,1%
E14001054,Worsley and Eccles South,E12000002,North West,"71,419","26,215","45,204","1,670",4%,4%,5%,344,1%,1%,4%,803,2%,3%,5%,"3,889",9%,8%,7%,462,1%,1%,1%,344,1%,1%,1%,"29,705",66%,63%,58%,"2,980",7%,6%,5%,971,2%,2%,3%,"3,804",8%,11%,11%,232,1%,1%,1%
E14001057,Wyre and Preston North,E12000002,North West,"64,146","20,744","43,402","2,600",6%,4%,5%,39,0%,1%,4%,469,1%,3%,5%,"1,926",4%,8%,7%,149,0%,1%,1%,297,1%,1%,1%,"31,005",71%,63%,58%,"2,286",5%,6%,5%,922,2%,2%,3%,"3,463",8%,11%,11%,246,1%,1%,1%
E14001059,Wythenshawe and Sale East,E12000002,North West,"76,299","27,381","48,918","1,753",4%,4%,5%,"1,877",4%,1%,4%,492,1%,3%,5%,"6,273",13%,8%,7%,446,1%,1%,1%,236,0%,1%,1%,"28,662",59%,63%,58%,"2,747",6%,6%,5%,"1,645",3%,2%,3%,"4,530",9%,11%,11%,257,1%,1%,1%
E14000541,Barnsley Central,E12000003,Yorkshire and The Humber,"63,572","24,638","38,934","1,127",3%,5%,5%,34,0%,0%,4%,791,2%,2%,5%,"2,585",7%,9%,7%,238,1%,1%,1%,329,1%,1%,1%,"25,453",65%,61%,58%,"2,836",7%,6%,5%,275,1%,3%,3%,"5,089",13%,12%,11%,177,0%,1%,1%
E14000542,Barnsley East,E12000003,Yorkshire and The Humber,"66,223","26,697","39,526","1,141",3%,5%,5%,33,0%,0%,4%,753,2%,2%,5%,"2,877",7%,9%,7%,193,0%,1%,1%,332,1%,1%,1%,"27,483",70%,61%,58%,"3,150",8%,6%,5%,250,1%,3%,3%,"3,139",8%,12%,11%,175,0%,1%,1%
E14000548,Batley and Spen,E12000003,Yorkshire and The Humber,"77,762","28,722","49,040","1,779",4%,5%,5%,32,0%,0%,4%,756,2%,2%,5%,"3,232",7%,9%,7%,582,1%,1%,1%,366,1%,1%,1%,"33,181",68%,61%,58%,"3,629",7%,6%,5%,466,1%,3%,3%,"4,795",10%,12%,11%,222,0%,1%,1%
E14000556,Beverley and Holderness,E12000003,Yorkshire and The Humber,"73,717","26,051","47,666","2,817",6%,5%,5%,30,0%,0%,4%,696,1%,2%,5%,"1,223",3%,9%,7%,129,0%,1%,1%,397,1%,1%,1%,"32,505",68%,61%,58%,"2,317",5%,6%,5%,"1,639",3%,3%,3%,"5,428",11%,12%,11%,485,1%,1%,1%
E14000587,Bradford East,E12000003,Yorkshire and The Humber,"77,094","34,194","42,900","1,333",3%,5%,5%,41,0%,0%,4%,"1,033",2%,2%,5%,"4,997",12%,9%,7%,754,2%,1%,1%,182,0%,1%,1%,"24,928",58%,61%,58%,"3,677",9%,6%,5%,309,1%,3%,3%,"5,318",12%,12%,11%,328,1%,1%,1%
E14000588,Bradford South,E12000003,Yorkshire and The Humber,"71,834","27,522","44,312","1,370",3%,5%,5%,30,0%,0%,4%,646,1%,2%,5%,"5,260",12%,9%,7%,570,1%,1%,1%,279,1%,1%,1%,"27,516",62%,61%,58%,"3,571",8%,6%,5%,329,1%,3%,3%,"4,478",10%,12%,11%,263,1%,1%,1%
E14000589,Bradford West,E12000003,Yorkshire and The Humber,"79,162","39,438","39,724","1,357",3%,5%,5%,41,0%,0%,4%,"1,346",3%,2%,5%,"4,769",12%,9%,7%,690,2%,1%,1%,124,0%,1%,1%,"21,721",55%,61%,58%,"3,252",8%,6%,5%,242,1%,3%,3%,"5,822",15%,12%,11%,360,1%,1%,1%
E14000596,Brigg and Goole,E12000003,Yorkshire and The Humber,"63,791","21,974","41,817","2,175",5%,5%,5%,20,0%,0%,4%,327,1%,2%,5%,753,2%,9%,7%,91,0%,1%,1%,318,1%,1%,1%,"29,803",71%,61%,58%,"2,722",7%,6%,5%,"1,757",4%,3%,3%,"3,581",9%,12%,11%,270,1%,1%,1%
E14000614,Calder Valley,E12000003,Yorkshire and The Humber,"76,165","24,912","51,253","3,153",6%,5%,5%,50,0%,0%,4%,"2,148",4%,2%,5%,"3,390",7%,9%,7%,166,0%,1%,1%,349,1%,1%,1%,"33,849",66%,61%,58%,"2,677",5%,6%,5%,527,1%,3%,3%,"4,718",9%,12%,11%,226,0%,1%,1%
E14000643,Cleethorpes,E12000003,Yorkshire and The Humber,"68,295","25,064","43,231","1,650",4%,5%,5%,27,0%,0%,4%,263,1%,2%,5%,"1,986",5%,9%,7%,194,0%,1%,1%,373,1%,1%,1%,"30,233",70%,61%,58%,"2,684",6%,6%,5%,"1,656",4%,3%,3%,"3,793",9%,12%,11%,372,1%,1%,1%
E14000645,Colne Valley,E12000003,Yorkshire and The Humber,"79,852","26,742","53,110","2,841",5%,5%,5%,44,0%,0%,4%,"1,722",3%,2%,5%,"4,194",8%,9%,7%,274,1%,1%,1%,373,1%,1%,1%,"35,235",66%,61%,58%,"3,126",6%,6%,5%,520,1%,3%,3%,"4,524",9%,12%,11%,257,0%,1%,1%
E14000666,Dewsbury,E12000003,Yorkshire and The Humber,"79,198","30,535","48,663","2,325",5%,5%,5%,39,0%,0%,4%,"1,460",3%,2%,5%,"2,944",6%,9%,7%,499,1%,1%,1%,315,1%,1%,1%,"32,960",68%,61%,58%,"3,100",6%,6%,5%,456,1%,3%,3%,"4,324",9%,12%,11%,241,0%,1%,1%
E14000667,Don Valley,E12000003,Yorkshire and The Humber,"72,408","29,143","43,265","1,801",4%,5%,5%,34,0%,0%,4%,748,2%,2%,5%,"2,998",7%,9%,7%,143,0%,1%,1%,267,1%,1%,1%,"29,585",68%,61%,58%,"2,908",7%,6%,5%,767,2%,3%,3%,"3,766",9%,12%,11%,248,1%,1%,1%
E14000668,Doncaster Central,E12000003,Yorkshire and The Humber,"76,661","28,959","47,702","1,521",3%,5%,5%,37,0%,0%,4%,"1,026",2%,2%,5%,"3,880",8%,9%,7%,423,1%,1%,1%,296,1%,1%,1%,"29,189",61%,61%,58%,"4,025",8%,6%,5%,"1,538",3%,3%,3%,"5,529",12%,12%,11%,238,0%,1%,1%
E14000669,Doncaster North,E12000003,Yorkshire and The Humber,"71,808","28,960","42,848","1,515",4%,5%,5%,49,0%,0%,4%,"1,142",3%,2%,5%,"3,245",8%,9%,7%,260,1%,1%,1%,269,1%,1%,1%,"27,775",65%,61%,58%,"3,277",8%,6%,5%,996,2%,3%,3%,"4,132",10%,12%,11%,188,0%,1%,1%
E14000683,East Yorkshire,E12000003,Yorkshire and The Humber,"73,509","28,432","45,077","3,507",8%,5%,5%,25,0%,0%,4%,566,1%,2%,5%,894,2%,9%,7%,212,0%,1%,1%,285,1%,1%,1%,"29,031",64%,61%,58%,"2,608",6%,6%,5%,"1,306",3%,3%,3%,"6,289",14%,12%,11%,354,1%,1%,1%
E14000689,Elmet and Rothwell,E12000003,Yorkshire and The Humber,"72,643","24,372","48,271","2,732",6%,5%,5%,40,0%,0%,4%,"1,876",4%,2%,5%,"3,362",7%,9%,7%,126,0%,1%,1%,276,1%,1%,1%,"33,128",69%,61%,58%,"2,679",6%,6%,5%,561,1%,3%,3%,"3,292",7%,12%,11%,199,0%,1%,1%
E14000716,Great Grimsby,E12000003,Yorkshire and The Humber,"64,007","25,969","38,038",876,2%,5%,5%,26,0%,0%,4%,150,0%,2%,5%,"2,491",7%,9%,7%,388,1%,1%,1%,366,1%,1%,1%,"22,332",59%,61%,58%,"2,999",8%,6%,5%,"2,556",7%,3%,3%,"5,532",15%,12%,11%,322,1%,1%,1%
E14000723,Halifax,E12000003,Yorkshire and The Humber,"72,601","27,209","45,392","1,642",4%,5%,5%,31,0%,0%,4%,"1,094",2%,2%,5%,"4,832",11%,9%,7%,353,1%,1%,1%,279,1%,1%,1%,"27,311",60%,61%,58%,"3,502",8%,6%,5%,376,1%,3%,3%,"5,726",13%,12%,11%,246,1%,1%,1%
E14000724,Haltemprice and Howden,E12000003,Yorkshire and The Humber,"65,019","21,635","43,384","2,703",6%,5%,5%,37,0%,0%,4%,780,2%,2%,5%,"1,491",3%,9%,7%,101,0%,1%,1%,343,1%,1%,1%,"31,034",72%,61%,58%,"2,101",5%,6%,5%,"1,440",3%,3%,3%,"2,985",7%,12%,11%,369,1%,1%,1%
E14000730,Harrogate and Knaresborough,E12000003,Yorkshire and The Humber,"73,052","20,644","52,408","3,565",7%,5%,5%,85,0%,0%,4%,"1,608",3%,2%,5%,"2,569",5%,9%,7%,173,0%,1%,1%,309,1%,1%,1%,"31,677",60%,61%,58%,"2,675",5%,6%,5%,"1,207",2%,3%,3%,"8,233",16%,12%,11%,307,1%,1%,1%
E14000740,Hemsworth,E12000003,Yorkshire and The Humber,"68,960","27,295","41,665","1,462",4%,5%,5%,26,0%,0%,4%,"1,179",3%,2%,5%,"2,683",6%,9%,7%,256,1%,1%,1%,286,1%,1%,1%,"28,416",68%,61%,58%,"3,277",8%,6%,5%,434,1%,3%,3%,"3,459",8%,12%,11%,187,0%,1%,1%
E14000756,Huddersfield,E12000003,Yorkshire and The Humber,"70,382","28,798","41,584","1,619",4%,5%,5%,40,0%,0%,4%,"1,483",4%,2%,5%,"4,764",11%,9%,7%,372,1%,1%,1%,226,1%,1%,1%,"24,302",58%,61%,58%,"2,711",7%,6%,5%,387,1%,3%,3%,"5,440",13%,12%,11%,240,1%,1%,1%
E14000766,Keighley,E12000003,Yorkshire and The Humber,"68,622","24,447","44,175","2,521",6%,5%,5%,61,0%,0%,4%,"3,250",7%,2%,5%,"2,483",6%,9%,7%,377,1%,1%,1%,238,1%,1%,1%,"26,786",61%,61%,58%,"2,762",6%,6%,5%,322,1%,3%,3%,"5,125",12%,12%,11%,250,1%,1%,1%
E14000771,Kingston upon Hull East,E12000003,Yorkshire and The Humber,"66,982","26,825","40,157",664,2%,5%,5%,15,0%,0%,4%,201,1%,2%,5%,"5,384",13%,9%,7%,387,1%,1%,1%,537,1%,1%,1%,"22,469",56%,61%,58%,"2,730",7%,6%,5%,"3,517",9%,3%,3%,"3,923",10%,12%,11%,330,1%,1%,1%
E14000772,Kingston upon Hull North,E12000003,Yorkshire and The Humber,"71,438","31,526","39,912",861,2%,5%,5%,26,0%,0%,4%,249,1%,2%,5%,"5,314",13%,9%,7%,433,1%,1%,1%,469,1%,1%,1%,"21,059",53%,61%,58%,"3,315",8%,6%,5%,"3,136",8%,3%,3%,"4,761",12%,12%,11%,289,1%,1%,1%
E14000773,Kingston upon Hull West and Hessle,E12000003,Yorkshire and The Humber,"63,136","24,568","38,568",862,2%,5%,5%,19,0%,0%,4%,303,1%,2%,5%,"4,435",11%,9%,7%,373,1%,1%,1%,405,1%,1%,1%,"20,626",53%,61%,58%,"3,186",8%,6%,5%,"2,761",7%,3%,3%,"5,225",14%,12%,11%,373,1%,1%,1%
E14000777,Leeds Central,E12000003,Yorkshire and The Humber,"104,034","47,583","56,451","1,459",3%,5%,5%,93,0%,0%,4%,"1,917",3%,2%,5%,"11,840",21%,9%,7%,750,1%,1%,1%,224,0%,1%,1%,"21,018",37%,61%,58%,"3,609",6%,6%,5%,"1,080",2%,3%,3%,"14,132",25%,12%,11%,329,1%,1%,1%
E14000778,Leeds East,E12000003,Yorkshire and The Humber,"66,175","27,095","39,080","1,096",3%,5%,5%,52,0%,0%,4%,892,2%,2%,5%,"7,698",20%,9%,7%,534,1%,1%,1%,196,1%,1%,1%,"20,601",53%,61%,58%,"2,978",8%,6%,5%,561,1%,3%,3%,"4,239",11%,12%,11%,233,1%,1%,1%
E14000779,Leeds North East,E12000003,Yorkshire and The Humber,"66,608","21,669","44,939","2,499",6%,5%,5%,69,0%,0%,4%,726,2%,2%,5%,"6,685",15%,9%,7%,435,1%,1%,1%,201,0%,1%,1%,"27,239",61%,61%,58%,"2,508",6%,6%,5%,"1,009",2%,3%,3%,"3,346",7%,12%,11%,222,0%,1%,1%
E14000780,Leeds North West,E12000003,Yorkshire and The Humber,"66,689","27,132","39,557","2,024",5%,5%,5%,82,0%,0%,4%,"1,825",5%,2%,5%,"4,833",12%,9%,7%,283,1%,1%,1%,166,0%,1%,1%,"21,764",55%,61%,58%,"1,939",5%,6%,5%,"1,039",3%,3%,3%,"5,450",14%,12%,11%,152,0%,1%,1%
E14000781,Leeds West,E12000003,Yorkshire and The Humber,"69,904","24,740","45,164","1,269",3%,5%,5%,53,0%,0%,4%,"1,303",3%,2%,5%,"8,771",19%,9%,7%,529,1%,1%,1%,223,0%,1%,1%,"23,583",52%,61%,58%,"3,051",7%,6%,5%,"1,031",2%,3%,3%,"5,157",11%,12%,11%,194,0%,1%,1%
E14000826,Morley and Outwood,E12000003,Yorkshire and The Humber,"72,042","21,357","50,685","1,986",4%,5%,5%,33,0%,0%,4%,"1,045",2%,2%,5%,"4,555",9%,9%,7%,319,1%,1%,1%,361,1%,1%,1%,"34,654",68%,61%,58%,"3,363",7%,6%,5%,577,1%,3%,3%,"3,599",7%,12%,11%,193,0%,1%,1%
E14000836,"Normanton, Pontefract and Castleford",E12000003,Yorkshire and The Humber,"79,163","29,259","49,904","1,285",3%,5%,5%,46,0%,0%,4%,"1,272",3%,2%,5%,"3,220",6%,9%,7%,553,1%,1%,1%,328,1%,1%,1%,"32,501",65%,61%,58%,"3,982",8%,6%,5%,736,1%,3%,3%,"5,779",12%,12%,11%,202,0%,1%,1%
E14000876,Penistone and Stocksbridge,E12000003,Yorkshire and The Humber,"64,531","21,893","42,638","1,989",5%,5%,5%,402,1%,0%,4%,828,2%,2%,5%,"3,034",7%,9%,7%,94,0%,1%,1%,295,1%,1%,1%,"30,185",71%,61%,58%,"2,368",6%,6%,5%,322,1%,3%,3%,"2,947",7%,12%,11%,174,0%,1%,1%
E14000886,Pudsey,E12000003,Yorkshire and The Humber,"65,121","18,760","46,361","2,158",5%,5%,5%,69,0%,0%,4%,"2,569",6%,2%,5%,"3,951",9%,9%,7%,288,1%,1%,1%,224,0%,1%,1%,"29,819",64%,61%,58%,"2,460",5%,6%,5%,666,1%,3%,3%,"3,992",9%,12%,11%,165,0%,1%,1%
E14000895,Richmond (Yorks),E12000003,Yorkshire and The Humber,"79,291","23,686","55,605","4,980",9%,5%,5%,58,0%,0%,4%,819,1%,2%,5%,877,2%,9%,7%,167,0%,1%,1%,225,0%,1%,1%,"34,076",61%,61%,58%,"2,730",5%,6%,5%,"1,256",2%,3%,3%,"9,483",17%,12%,11%,934,2%,1%,1%
E14000903,Rother Valley,E12000003,Yorkshire and The Humber,"69,471","25,346","44,125","1,811",4%,5%,5%,102,0%,0%,4%,363,1%,2%,5%,"2,978",7%,9%,7%,86,0%,1%,1%,240,1%,1%,1%,"32,160",73%,61%,58%,"2,808",6%,6%,5%,347,1%,3%,3%,"3,076",7%,12%,11%,154,0%,1%,1%
E14000904,Rotherham,E12000003,Yorkshire and The Humber,"65,171","27,578","37,593",996,3%,5%,5%,280,1%,0%,4%,396,1%,2%,5%,"4,251",11%,9%,7%,432,1%,1%,1%,245,1%,1%,1%,"23,845",63%,61%,58%,"3,102",8%,6%,5%,358,1%,3%,3%,"3,524",9%,12%,11%,164,0%,1%,1%
E14000913,Scarborough and Whitby,E12000003,Yorkshire and The Humber,"71,124","27,275","43,849","3,155",7%,5%,5%,33,0%,0%,4%,491,1%,2%,5%,"2,038",5%,9%,7%,231,1%,1%,1%,352,1%,1%,1%,"23,338",53%,61%,58%,"2,911",7%,6%,5%,"1,027",2%,3%,3%,"9,808",22%,12%,11%,465,1%,1%,1%
E14000914,Scunthorpe,E12000003,Yorkshire and The Humber,"64,462","23,775","40,687","1,149",3%,5%,5%,19,0%,0%,4%,139,0%,2%,5%,"1,296",3%,9%,7%,156,0%,1%,1%,486,1%,1%,1%,"26,945",66%,61%,58%,"3,217",8%,6%,5%,"2,168",5%,3%,3%,"4,892",12%,12%,11%,220,1%,1%,1%
E14000917,Selby and Ainsty,E12000003,Yorkshire and The Humber,"71,022","21,444","49,578","3,675",7%,5%,5%,38,0%,0%,4%,"1,306",3%,2%,5%,"1,426",3%,9%,7%,82,0%,1%,1%,347,1%,1%,1%,"34,866",70%,61%,58%,"2,549",5%,6%,5%,"1,131",2%,3%,3%,"3,904",8%,12%,11%,254,1%,1%,1%
E14000919,Sheffield Central,E12000003,Yorkshire and The Humber,"95,289","46,558","48,731","1,898",4%,5%,5%,"2,052",4%,0%,4%,"1,640",3%,2%,5%,"7,095",15%,9%,7%,368,1%,1%,1%,155,0%,1%,1%,"18,682",38%,61%,58%,"2,118",4%,6%,5%,"1,495",3%,3%,3%,"12,897",26%,12%,11%,331,1%,1%,1%
E14000920,Sheffield South East,E12000003,Yorkshire and The Humber,"66,748","24,657","42,091","1,073",3%,5%,5%,"1,795",4%,0%,4%,282,1%,2%,5%,"5,457",13%,9%,7%,225,1%,1%,1%,231,1%,1%,1%,"26,801",64%,61%,58%,"2,744",7%,6%,5%,314,1%,3%,3%,"2,907",7%,12%,11%,262,1%,1%,1%
E14000921,"Sheffield, Brightside and Hillsborough",E12000003,Yorkshire and The Humber,"74,705","32,340","42,365",978,2%,5%,5%,"2,006",5%,0%,4%,396,1%,2%,5%,"7,742",18%,9%,7%,380,1%,1%,1%,332,1%,1%,1%,"22,152",52%,61%,58%,"2,917",7%,6%,5%,537,1%,3%,3%,"4,614",11%,12%,11%,311,1%,1%,1%
E14000922,"Sheffield, Hallam",E12000003,Yorkshire and The Humber,"66,181","24,165","42,016","2,845",7%,5%,5%,764,2%,0%,4%,808,2%,2%,5%,"4,532",11%,9%,7%,93,0%,1%,1%,216,1%,1%,1%,"25,085",60%,61%,58%,"1,787",4%,6%,5%,"1,021",2%,3%,3%,"4,661",11%,12%,11%,204,0%,1%,1%
